"Feature","Gain","Cover","Frequence"
"X",0.156852235631026,0.182680586891674,0.137705744427531
"Y",0.141599135238556,0.145550397084464,0.124306032295615
"DistCentral",0.132307352655746,0.16436359770072,0.111966341322668
"DistMin",0.11143853836278,0.0694360618065995,0.0985235153070869
"Hour",0.0853237506682491,0.0889784300047934,0.0844741930241736
"Corner",0.0763375616739416,0.0301563212590747,0.0107237494486398
"Year",0.0679918222926593,0.0668917087864564,0.0667809184583802
"Temperature",0.0583638965737263,0.0781735888280308,0.12132246863465
"District",0.0465591496351173,0.0228434855313932,0.0139792622219569
"Day",0.0388777020910107,0.0407566155007408,0.0818890182305399
"Month",0.0231173793350093,0.0281965554716966,0.0466251778447701
"PRCP",0.0223003768270054,0.0418813322323629,0.0469576522168827
"WeekDay",0.0205863603795802,0.0248944650503723,0.0398749531551072
"Night",0.0113727504617958,0.00627504802859915,0.00708311361834927
"Holiday",0.00697198817379751,0.00892180582302213,0.00778785979365032
